,trackid,recordingId
0,3,19
1,4,19
2,5,19
3,6,19
4,7,19
5,8,19
6,9,19
7,10,19
8,11,19
9,12,19
10,13,19
11,14,19
12,15,19
13,25,19
14,29,19
15,36,19
16,44,19
17,46,19
18,48,19
19,50,19
20,52,19
21,54,19
22,61,19
23,66,19
24,67,19
25,77,19
26,78,19
27,79,19
28,83,19
29,85,19
30,89,19
31,92,19
32,95,19
33,98,19
34,105,19
35,111,19
36,113,19
37,114,19
38,124,19
39,126,19
40,137,19
41,138,19
42,139,19
43,144,19
44,145,19
45,151,19
46,152,19
47,154,19
48,159,19
49,165,19
50,170,19
51,172,19
52,173,19
53,174,19
54,181,19
55,184,19
56,189,19
57,191,19
58,215,19
59,216,19
60,217,19
61,218,19
62,220,19
63,221,19
64,227,19
65,228,19
66,229,19
67,231,19
68,239,19
69,241,19
70,270,19
71,271,19
72,273,19
73,277,19
74,286,19
75,287,19
76,297,19
77,298,19
78,300,19
79,301,19
80,303,19
81,306,19
82,309,19
83,313,19
84,315,19
85,317,19
86,318,19
87,324,19
88,325,19
89,326,19
90,328,19
91,329,19
92,332,19
93,334,19
94,344,19
95,348,19
96,357,19
97,358,19
98,361,19
