,trackid,recordingId
0,0,22
1,2,22
2,4,22
3,6,22
4,8,22
5,17,22
6,18,22
7,19,22
8,20,22
9,21,22
10,22,22
11,23,22
12,24,22
13,25,22
14,26,22
15,27,22
16,28,22
17,29,22
18,30,22
19,31,22
20,32,22
21,34,22
22,39,22
23,40,22
24,41,22
25,44,22
26,46,22
27,47,22
28,50,22
29,52,22
30,56,22
31,57,22
32,62,22
33,67,22
34,68,22
35,70,22
36,71,22
37,72,22
38,73,22
39,74,22
40,77,22
41,87,22
42,94,22
43,95,22
44,99,22
45,100,22
46,107,22
47,108,22
48,115,22
49,116,22
50,121,22
51,125,22
52,126,22
53,127,22
54,134,22
55,139,22
56,140,22
57,141,22
58,142,22
59,154,22
60,155,22
61,156,22
62,158,22
63,159,22
64,160,22
65,162,22
66,163,22
67,164,22
68,166,22
69,170,22
70,174,22
71,175,22
72,176,22
73,178,22
74,182,22
75,185,22
76,187,22
77,191,22
78,193,22
79,200,22
80,205,22
81,208,22
82,209,22
83,212,22
84,214,22
85,215,22
86,223,22
87,224,22
88,225,22
89,231,22
90,239,22
91,240,22
92,243,22
93,248,22
94,255,22
95,256,22
96,259,22
97,261,22
98,266,22
99,271,22
100,274,22
101,276,22
102,282,22
103,283,22
104,284,22
105,286,22
106,291,22
107,294,22
108,296,22
109,301,22
110,317,22
111,318,22
112,320,22
113,334,22
114,339,22
115,346,22
116,353,22
117,356,22
118,357,22
119,361,22
120,371,22
121,373,22
122,377,22
123,380,22
124,383,22
125,386,22
126,389,22
127,393,22
128,395,22
129,396,22
130,399,22
131,402,22
132,403,22
133,409,22
134,410,22
135,412,22
136,415,22
137,417,22
138,424,22
139,427,22
140,428,22
141,432,22
142,435,22
143,436,22
144,439,22
145,440,22
146,446,22
147,450,22
148,453,22
149,461,22
150,462,22
151,463,22
152,464,22
153,468,22
154,469,22
155,475,22
156,489,22
157,498,22
158,500,22
159,503,22
160,505,22
161,507,22
162,511,22
163,512,22
164,515,22
165,520,22
166,524,22
167,527,22
168,533,22
169,535,22
170,539,22
171,543,22
172,544,22
173,545,22
174,549,22
175,550,22
176,552,22
