,trackid,recordingId
0,0,21
1,2,21
2,7,21
3,8,21
4,9,21
5,10,21
6,11,21
7,12,21
8,13,21
9,14,21
10,15,21
11,16,21
12,17,21
13,18,21
14,19,21
15,20,21
16,21,21
17,22,21
18,23,21
19,26,21
20,27,21
21,28,21
22,32,21
23,36,21
24,38,21
25,39,21
26,43,21
27,44,21
28,50,21
29,52,21
30,56,21
31,60,21
32,76,21
33,77,21
34,78,21
35,82,21
36,85,21
37,88,21
38,90,21
39,93,21
40,96,21
41,97,21
42,103,21
43,107,21
44,111,21
45,129,21
46,134,21
47,135,21
48,149,21
49,152,21
50,156,21
51,159,21
52,163,21
53,164,21
54,171,21
55,186,21
56,197,21
57,198,21
58,201,21
59,203,21
60,205,21
61,207,21
62,209,21
63,210,21
64,230,21
65,234,21
66,243,21
67,244,21
68,246,21
69,247,21
70,248,21
71,249,21
72,251,21
73,253,21
74,254,21
75,257,21
76,258,21
77,260,21
78,264,21
79,265,21
80,270,21
81,273,21
82,274,21
83,277,21
84,280,21
85,287,21
86,290,21
87,291,21
88,293,21
89,295,21
90,305,21
91,307,21
92,308,21
93,309,21
94,311,21
95,315,21
96,319,21
97,329,21
98,332,21
99,334,21
100,335,21
101,336,21
102,337,21
103,338,21
104,350,21
105,352,21
106,355,21
107,361,21
108,366,21
109,369,21
110,371,21
111,375,21
112,377,21
113,379,21
114,380,21
115,381,21
116,383,21
117,384,21
118,389,21
119,392,21
120,393,21
121,406,21
122,415,21
123,420,21
124,422,21
125,425,21
126,430,21
127,432,21
128,440,21
129,444,21
130,456,21
131,458,21
132,460,21
133,461,21
134,462,21
135,467,21
136,473,21
137,474,21
138,479,21
139,480,21
140,481,21
141,484,21
142,487,21
143,488,21
144,491,21
145,492,21
146,494,21
147,495,21
148,497,21
149,499,21
150,500,21
151,501,21
152,502,21
153,504,21
154,507,21
155,509,21
156,528,21
157,529,21
158,532,21
159,536,21
160,542,21
161,544,21
162,545,21
163,547,21
164,548,21
