,trackid,recordingId
0,0,25
1,1,25
2,3,25
3,5,25
4,11,25
5,12,25
6,13,25
7,14,25
8,15,25
9,16,25
10,17,25
11,18,25
12,19,25
13,20,25
14,21,25
15,23,25
16,27,25
17,30,25
18,31,25
19,34,25
20,35,25
21,36,25
22,39,25
23,40,25
24,41,25
25,42,25
26,47,25
27,48,25
28,49,25
29,53,25
30,57,25
31,66,25
32,68,25
33,70,25
34,73,25
35,75,25
36,76,25
37,78,25
38,79,25
39,82,25
40,87,25
41,92,25
42,95,25
43,96,25
44,97,25
45,98,25
46,104,25
47,105,25
48,108,25
49,110,25
50,112,25
51,119,25
52,121,25
53,122,25
54,124,25
55,125,25
56,127,25
57,129,25
58,131,25
59,133,25
60,134,25
61,138,25
62,144,25
63,145,25
64,146,25
65,147,25
66,155,25
67,156,25
68,159,25
69,163,25
70,164,25
71,173,25
72,175,25
73,176,25
74,179,25
75,180,25
76,182,25
77,189,25
78,190,25
79,197,25
80,198,25
81,199,25
82,203,25
83,208,25
84,209,25
85,210,25
86,211,25
87,212,25
88,213,25
89,214,25
90,218,25
91,221,25
92,226,25
93,229,25
94,231,25
95,236,25
96,237,25
97,241,25
98,242,25
99,247,25
100,248,25
101,257,25
102,265,25
103,267,25
104,269,25
105,271,25
106,273,25
107,280,25
108,285,25
109,297,25
110,303,25
111,305,25
112,309,25
113,312,25
114,322,25
115,324,25
116,329,25
117,334,25
118,336,25
119,338,25
120,340,25
121,343,25
122,344,25
123,345,25
124,350,25
125,351,25
126,361,25
127,372,25
128,384,25
129,386,25
130,388,25
131,398,25
132,403,25
133,404,25
134,419,25
135,423,25
136,426,25
137,429,25
138,430,25
139,431,25
140,434,25
141,436,25
142,437,25
143,442,25
144,447,25
145,453,25
146,454,25
147,456,25
148,459,25
149,470,25
150,473,25
151,479,25
152,482,25
153,487,25
154,491,25
155,503,25
156,508,25
157,509,25
158,514,25
159,517,25
160,526,25
161,528,25
162,529,25
163,532,25
164,535,25
